EqID,Equation,Framework,Domain,SourceDoc,SourceLine,Description,VerificationStatus,RelatedEqs,ExperimentalTest
LE001,PLEASE CITE THIS ARTICLE AS DOI: 10.1063/5.0038222,Literature,General,094101_1_accepted_manuscript.pdf,"Page 1, Line 78","tor target20. The Bremsstrahlung x-rays further inter- act with atomic nuclei and create more electron-positron pairs. This is the author’s peer reviewed, accepted manuscript. However, the online vers...",Theoretical,,Theoretical validation required
LE002,"(a1), (b1) Sheath ﬁeld Ez at r = 0 as a function",Literature,Thermo,094101_1_accepted_manuscript.pdf,"Page 5, Line 13","the usual collimating eﬀect associated with the front sur- face micro-wires described in previous work18,19 did not show up in the electron spectrum measured at at 0◦. FIG. 5. (a1), (b1) Sheath ﬁeld E...",Theoretical,,Theoretical validation required
LE003,ﬁeld at r=0 and average Ez ﬁeld over the 1 mm diameter,Literature,Thermo,094101_1_accepted_manuscript.pdf,"Page 5, Line 27","shows the evolution of the sheath ﬁeld Ez as a function of the longitudinal position z and time t. Column (a) are the results from the ﬂat target and column (b) are from structure 1. Images (a1),(b1) ...",Theoretical,,Theoretical validation required
LE004,z0 = 1 mm indicates the back surface of the target. These,Literature,General,094101_1_accepted_manuscript.pdf,"Page 5, Line 33","the corresponding voltages V calculated by integrating Ez over the longitudinal distance z. V = R z zo Ezdz, where z0 = 1 mm indicates the back surface of the target. These plots allow for an estimate...",Theoretical,,Theoretical validation required
LE005,of the sheath ﬁeld. The images at r = 0 indicate that,Literature,Thermo,094101_1_accepted_manuscript.pdf,"Page 5, Line 35","R z zo Ezdz, where z0 = 1 mm indicates the back surface of the target. These plots allow for an estimate of the accelerating capability of the sheath ﬁeld. The images at r = 0 indicate that passes of ...",Theoretical,,Theoretical validation required
LE006,"PACS numbers: 63.20.-e, 63.20.dk, 63.10.+a",Literature,Thermo,1111.4064v2.pdf,"Page 1, Line 13","whose constituent atoms share the same bonding geometry, we prove the existence of a characteristic temperature, T0, at which the magnitude of zero-point vibrations equals to that of the excited vibra...",Theoretical,,Theoretical validation required
LE007,"where the number of atoms per primitive cell is r, and j = 1, …, r.  is the reduced Planck",Literature,QM,1111.4064v2.pdf,"Page 3, Line 55","   , (1) where the number of atoms per primitive cell is r, and j = 1, …, r.  is the reduced Planck constant; m is the mass of each atom; q is the wave vector in reciprocal space and R is the tran...",Theoretical,,Theoretical validation required
LE008,"1, 2, .., 3r) phonon branch with a wave number q (= q ) and a frequency",Literature,QM,1111.4064v2.pdf,"Page 3, Line 58",", (1) where the number of atoms per primitive cell is r, and j = 1, …, r.  is the reduced Planck constant; m is the mass of each atom; q is the wave vector in reciprocal space and R is the translatio...",Theoretical,,Theoretical validation required
LE009,", where r = 1 for crystals with monoatomic basis and r ≥ 2 for",Literature,General,1111.4064v2.pdf,"Page 5, Line 160","Nr    , where r = 1 for crystals with monoatomic basis and r ≥ 2 for crystals with multiatomic basis. The corresponding MSD quantities are as follows:",Theoretical,,Vibrational spectroscopy in crystals
LE010,"at T = 4.2 K, 77 K, and 293 K, are listed in Table I for both systems, with comparison to that",Literature,General,1111.4064v2.pdf,"Page 8, Line 12","  stated in theorem 2 is well satisfied for the T0 obtained using the Debye VDOS. The calculated total MSD at T = 4.2 K, 77 K, and 293 K, are listed in Table I for both systems, with comparison to t...",Theoretical,,Theoretical validation required
LE011,"not negligible even at room temperature. Indeed, at T = 298 K, the ratio",Literature,Thermo,1111.4064v2.pdf,"Page 8, Line 17","from the literature [10]. One finds satisfactory agreement, despite the systematic deviation between the DFPT and Debye data lines, which is due to the different VDOS employed in calculation. The valu...",Theoretical,,Theoretical validation required
LE012,"high Debye temperature, such as beryllium (θD = 1440 K) [18], T0 will also be a high value.",Literature,GR,1111.4064v2.pdf,"Page 9, Line 5","9 geometric condition, which is true for the crystals of most (if not all) elements in the periodic table. As a result, one can expect that, besides diamond, for the crystals of other elements with a ...",Theoretical,,Vibrational spectroscopy in crystals
LE013,Acknowledgements: The authors would like to express their sincere thanks to the crew of,Literature,Math,1111.4064v2.pdf,"Page 10, Line 6","10 and graphene (two-dimensional), and to the more complex systems whose constituent atoms have different bonding geometries. Acknowledgements: The authors would like to express their sincere thanks t...",Theoretical,,Dimensional spectroscopy
LE014,"where r is number of atoms per primitive cell, and j = 1, …, r.",Literature,General,1111.4064v2.pdf,"Page 10, Line 25","j r  , (A.1) where r is number of atoms per primitive cell, and j = 1, …, r. Proof. – Atomic vibrations of a crystal can be studied within the primitive cell, by using the translational geometry. The...",Theoretical,,Vibrational spectroscopy in crystals
